code;name;warehouse_sale_code;warehouse_sale_name
00080;С-Петербург ПВ Germany-bt;00094;Склад СПб пр-кт Славы 30к1 - ЭИ
00069;С-Петербург  Славы 30к1;00167;М-н СПб пр-кт Славы 30к1 - Витрина - ЭИ
00037;Новосибирск ПунктВыдачи;00302;Склад Новосибирск - ПунктВыдачи
00204;Орел;00359;Склад Тула ЭИ
00014;Тула;00359;Склад Тула ЭИ
00012;Калуга;00359;Склад Тула ЭИ
00078;Смоленск;00379;Склад Лого-Арт ЭИ
00177;Вологда;00379;Склад Лого-Арт ЭИ
00150;Брянск;00379;Склад Лого-Арт ЭИ
00187;Обнинск;00379;Склад Лого-Арт ЭИ
00211;Рыбинск;00379;Склад Лого-Арт ЭИ
00212;Череповец;00379;Склад Лого-Арт ЭИ
00001;Москва - Север;00379;Склад Лого-Арт ЭИ
00019;Тверь;00379;Склад Лого-Арт ЭИ
00025;Ярославль;00379;Склад Лого-Арт ЭИ
00119;Иваново;00380;Склад Мих.Слобода ЭИ
00167;Рязань;00380;Склад Мих.Слобода ЭИ
00224;Владимир;00380;Склад Мих.Слобода ЭИ
00055;Коломна;00380;Склад Мих.Слобода ЭИ
00021;Воскресенск;00380;Склад Мих.Слобода ЭИ
00026;Москва - Юг;00380;Склад Мих.Слобода ЭИ
00087;Москва - Юг-2;00381;Склад Мих.Слобода -- №2 ЭИ
00022;В.Новгород;00414;Склад Пулково ЭИ
00011;С-Петербург;00414;Склад Пулково ЭИ
00133;Петрозаводск;00414;Склад Пулково ЭИ
00214;В.Новгород Haier ТЦ Мармелад;00414;Склад Пулково ЭИ
00028;Волгоград;00426;Склад Волгоград ЭИ
00096;Саратов;00426;Склад Волгоград ЭИ
00149;Астрахань;00426;Склад Волгоград ЭИ
00045;Краснодар ПВЗ ул Шоссе Нефтяников;00689;Склад Краснодар - ПВЗ ул Шоссе Нефтяников ЭИ
00059;С-Петербург ПВ Комендантс;00695;Склад СПб - ПВ Комендантская пл ЭИ
00058;Уфа;00752;Склад Самара ПХ ЭИ
00095;Пенза;00752;Склад Самара ПХ ЭИ
00040;Самара;00752;Склад Самара ПХ ЭИ
00041;Сызрань;00752;Склад Самара ПХ ЭИ
00042;Ульяновск;00752;Склад Самара ПХ ЭИ
00043;Новокуйбышевск;00752;Склад Самара ПХ ЭИ
00099;Краснодар Haier;00775;Склад Haier Краснодар ЭИ
00128;Самара Haier;00782;М-н Самара Haier ЭИ
00066;Тула ПунктВыд;00794;Склад Тула - Пункт Выдачи ЭИ
00098;Адыгея Haier;00814;Склад Haier Адыгея ЭИ
00106;Волгоград Haier Акварель;00823;Склад Haier Волгоград ТЦ Акварель ЭИ
00127;Ростов-на-Дону Haier Аксай;00833;Склад Haier Ростов-На-Дону ЭИ
00124;Нижний Новгород Haier Федяково;00841;Склад Haier Федяково ЭИ
00068;Москва ФР Дорогомиловская;00845;Склад Дорогомиловская ЭИ
00071;Нижний Новгород;00851;Склад Н. Новгород- Кстово ЭИ
00084;Чебоксары;00851;Склад Н. Новгород- Кстово ЭИ
00179;Киров;00851;Склад Н. Новгород- Кстово ЭИ
00216;Арзамас;00851;Склад Н. Новгород- Кстово ЭИ
00077;Тюмень ПунктВыдачи;00875;Склад Тюмень - Пункт Выдачи ЭИ
00102;Сочи Haier МореМолл;00896;Склад Сочи Haier ЭИ
00143;Ярославль Haier;00904;Склад Ярославль Haier Аура ЭИ
00051;Казань;00915;Склад Казань СОХ
00081;Воронеж;00918;Склад Воронеж СОХ
00120;Курск;00918;Склад Воронеж СОХ
00146;Липецк;00918;Склад Воронеж СОХ
00196;Тамбов;00918;Склад Воронеж СОХ
00113;С-Петербург Haier Дыбенко;00961;М-н СПБ Haier Дыбенко ЭИ
00142;МСК Haier Химки МЕГА;00973;Склад Haier Химки ЭИ
00139;МСК Haier Теплый Стан;00983;Склад Haier Теплый Стан ЭИ
00138;МСК Haier Белая Дача ;00989;Склад Haier Белая Дача ЭИ
00132;С-Петербург Haier Парнас;00996;М-н СПБ Haier Парнас ЭИ
00083;Воронеж ПунктВыд;01010;Склад Воронеж - Пункт Выдачи ЭИ
00107;Воронеж Haier гал Чижова;01019;Склад Haier Воронеж ЭИ
00140;МСК Haier Европолис пр-т Мира;01026;Склад Haier пр-т Мира, Европолис ЭИ
00129;Самара Midea;01063;М-н Самара Midea ЭИ
00158;Ставрополь;01111;Склад Пятигорск СОХ
00200;Назрань;01111;Склад Пятигорск СОХ
00201;Махачкала;01111;Склад Пятигорск СОХ
00202;Грозный;01111;Склад Пятигорск СОХ
00203;Владикавказ;01111;Склад Пятигорск СОХ
00049;Пятигорск;01111;Склад Пятигорск СОХ
00141;МСК Haier Щелковский;01126;Склад Haier Щелковский ЭИ
00123;Нижний Новгород Haier Гагарина пр-т;01151;Склад Haier пр-т Гагарина ЭИ
00126;Пятигорск Haier;01152;М-н Пятигорск Haier ЭИ
00103;Сочи Haier ПлазаХоум;01178;Склад Сочи Haier ПлазаХоум ЭИ
00100;_Новороссийск Haier;01186;Склад Новороссийск Haier Красная площадь ЭИ
00130;Тула Haier Макси;01193;Склад Тула Haier Макси ЭИ
00190;Адлер;01202;Склад Сочи ЭИ
00029;Сочи;01202;Склад Сочи ЭИ
00101;Сочи ПунктВыдачи;01219;Склад Сочи - Пункт Выдачи ЭИ
00089;Орехово-Зуево ПунктВыд;01233;Склад Орехово-Зуево - Пункт Выдачи ЭИ
00090;Ногинск ПунктВыд;01240;Склад Ногинск - Пункт Выдачи ЭИ
00105;Севастополь Haier Муссон;01248;Склад Haier Севастополь ЭИ
00104;Симферополь Haier Меганом;01251;Склад Haier Симферополь ЭИ
00091;Севастополь;01264;Склад Симферополь ЭИ
00092;Симферополь;01264;Склад Симферополь ЭИ
00111;Ялта;01264;Склад Симферополь ЭИ
00112;Евпатория;01264;Склад Симферополь ЭИ
00093;Балашиха ПунктВыд;01297;Склад Балашиха - Пункт Выдачи ЭИ
00131;Ульяновск Haier Аква Молл;01308;Склад Haier Ульяновск ЭИ
00027;Новосибирск;01357;Склад Новосибирск СОХ ЭИ
00031;Томск;01357;Склад Новосибирск СОХ ЭИ
00032;Кемерово;01357;Склад Новосибирск СОХ ЭИ
00033;Барнаул;01357;Склад Новосибирск СОХ ЭИ
00094;Екатеринбург ПВЗ Косм.;01363;Склад Екатеринбург ПВЗ пр-т Космонавтов ЭИ
00125;Пенза Haier Коллаж;01372;Склад Haier Пенза ТЦ Коллаж ЭИ
00109;Саратов Haier Триумф;01376;Склад Haier Саратов ТЦ Триумф ЭИ
00097;Екатеринбург ПВЗ ак.Сах.;01387;Склад Екатеринбург ПВЗ пр-т ак. Сахарова ЭИ
00108;Тверь Haier ТЦ Рубин;01392;Склад Тверь Haier ТЦ Рубин ЭИ
00110;С-Петербург Haier Охта Молл;01397;М-н СПБ Haier Охта Молл ЭИ
00024;Краснодар;01412;Склад Краснодар Карасунский вн.г.о. ЭИ
00035;Геленджик;01412;Склад Краснодар Карасунский вн.г.о. ЭИ
00188;Джубга;01412;Склад Краснодар Карасунский вн.г.о. ЭИ
00189;Туапсе;01412;Склад Краснодар Карасунский вн.г.о. ЭИ
00191;Горячий Ключ;01412;Склад Краснодар Карасунский вн.г.о. ЭИ
00192;Анапа;01412;Склад Краснодар Карасунский вн.г.о. ЭИ
00030;_Новороссийск;01412;Склад Краснодар Карасунский вн.г.о. ЭИ
00034;Ростов-на-Дону;01423;Склад Ростов - ул.50-летия Ростсельмаша СОХ
00116;Новосибирск ПВЗ Пархоменко;01427;Склад Новосибирск - ПунктВыдачи ул. Пархоменко
00114;Екатеринбург ПВЗ ул Крестинского;01443;Склад Екатеринбург ПВЗ ул Крестинского  ЭИ
00115;Екатеринбург ПВЗ ул Новгородцевой;01450;Склад Екатеринбург ПВЗ ул Новгородцевой  ЭИ
00117;Курск Haier Централ Парк;01457;Склад Haier Курск ТРЦ Централ Парк ЭИ
00118;Иваново Haier ТЦ Серебряный город;01463;Склад Haier Иваново ТРЦ Серебряный город ЭИ
00122;Новосибирск ПВЗ Владимира Заровного;01471;Склад Новосибирск - ПунктВыдачи ул. Владимира Заровного
00121;Новосибирск ПВЗ Петухова, 16/4;01478;Склад Новосибирск - ПунктВыдачи ул. Петухова, 16/4
00136;Коломна ТРЦ Рио;01489;Склад Haier Коломна ТРЦ Рио ЭИ
00137;Ростов-на-Дону ТРЦ МегаМаг Haier ;01491;М-н Ростов-На-Дону ТРЦ МегаМаг Haier ЭИ
00135;Краснодар Haier ТРЦ Оз Молл;01498;Склад Haier Краснодар ТРЦ Оз Молл ЭИ
00134;Петрозаводск Haier;01502;Склад Haier Петрозаводск ТРК Лотос Плаза ЭИ
00144;Мытищи Haier;01560;Склад Haier Мытищи ТЦ Красный Кит ЭИ
00145;Реутов Haier;01592;Склад Haier Реутов Парк ЭИ
00148;Брянск Haier;01614;Склад Haier Брянск ТЦ Аэро Парк
00152;Смоленск ТЦ Макси Haier;01620;Склад Haier Смоленск ТЦ Макси
00154;Астрахань ТЦ Ярмарка ;01623;Склад Haier Астрахань ТЦ Ярмарка 
00153;Краснодар ТРЦ СБС Weissgauff;01635;Склад Краснодар ТРЦ СБС Weissgauff ЭИ
00156;Краснодар ПВЗ ул Тургенева 58;01647;Склад Краснодар ПВЗ Тургенева 58 ЭИ
00155;Екатеринбург ПВЗ ул Начдива Васильева;01651;Склад Екатеринбург ПВЗ ул Начдива Васильева ЭИ
00159;МСК Grundig Метрополис;01690;Склад Grundig  ТЦ Метрополис ЭИ
00161;Воронеж Haier ТРК Сити-парк Град;01697;М-н Haier Воронеж ТРК Сити-парк Град
00160;Электросталь Haier;01701;Склад Haier Электросталь ТРЦ Эльград
00163;Сочи Grundig МореМолл;01710;Склад Сочи Grundig МореМолл ЭИ
00162;Краснодар ТРЦ СБС Grundig;01713;Склад Краснодар ТРЦ СБС Grundig ЭИ
00164;МСК Grundig Афимолл Сити;01716;Склад Grundig ТЦ Афимолл Сити ЭИ
00166;Рязань ТРЦ Премьер;01744;Склад Haier Рязань ТРЦ Премьер ЭИ
00171;МСК Haier Люблинская;01746;Склад Haier Люблинская ЭИ
00181;МСК Haier ТРЦ Вегас;01750;Склад Haier ТРЦ Вегас ЭИ
00168;Самара Haier ТК Гудок;01754;М-н Самара ТК Гудок Haier ЭИ
00174;Волжский Haier ВолгаМолл;01756;Склад Haier Волжский ТЦ ВолгаМолл ЭИ
00169;Москва - Юг-3;01760;Склад Мих.Слобода -- №3 ЭИ
00172;Ярославль Haier Вернисаж;01774;Склад Ярославль Haier ТЦ Вернисаж ЭИ
00173;Пушкино Haier;01779;Склад Haier ТЦ Пушкино Парк ЭИ
00170;Вологда Haier;01785;М-н Вологда Haier ТЦ РИО ЭИ
00175;Волгоград Haier Мармелад;01790;Склад Haier Волгоград ТЦ Мармелад ЭИ
00176;Ростов-на-Дону ТРЦ МегаМаг Grundig ;01807;М-н Ростов-На-Дону ТРЦ МегаМаг Grundig ЭИ
00178;Самара Haier ТЦ Космопорт;01840;М-н Самара ТЦ Космопорт Haier ЭИ
00180;Киров Haier ТЦ Макси;01845;М-н Киров ТЦ Макси Haier ЭИ
00182;МСК Haier ТРЦ Город Лефортово;01854;Склад Haier Город Лефортово ЭИ
00183;МСК Haier ТРЦ Город Рязанка;01858;Склад Haier Город Рязанка ЭИ
00184;Ростов-на-Дону ТРЦ МегаМаг Candy ;01863;М-н Ростов-На-Дону ТРЦ МегаМаг Candy ЭИ
00186;С-Петербург Candy Охта Молл;01870;М-н СПБ Candy Охта Молл ЭИ
00185;МСК Haier ТЦ Зеленопарк;01872;Склад Haier ТЦ Зеленопарк ЭИ
00217;Краснодар Уральская;01877;Склад Краснодар Уральская ЭИ
00193;Пенза Candy Коллаж;01884;Склад Candy Пенза ТЦ Коллаж ЭИ
00194;Нижний Новгород Candy Гагарина пр-т;01888;Склад Candy пр-т Гагарина ЭИ
00198;Краснодар ТРЦ СБС  Candy;01893;Склад Краснодар ТРЦ СБС Candy ЭИ
00195;_Новороссийск Candy;01896;Склад Новороссийск Candy Красная площадь ЭИ
