Москва и область;Москва и область;1
Санкт-Петербург;Санкт-Петербург;2
Краснодар;Адлер;38
Краснодар;Анапа;35
Новосибирск;Барнаул;32
Санкт-Петербург;Великий Новгород;13
Волгоград;Волгоград;4
Воронеж;Воронеж;28
Москва и область;Воскресенск;10
Краснодар;Геленджик;34
Краснодар;Горячий Ключ;39
Краснодар;Джубга;36
Екатеринбург;Екатеринбург;41
Казань;Казань;27
Тула;Калуга;5
Новосибирск;Кемерово;29
Москва и область;Коломна;11
Краснодар;Краснодар;14
Нижний Новгород;Нижний Новгород;20
Екатеринбург;Нижний Тагил;51
Самара;Новокуйбышевск;48
Краснодар;Новороссийск;33
Новосибирск;Новосибирск;19
Москва и область;Обнинск;8
Екатеринбург;Пермь;53
Пятигорск;Пятигорск;42
Ростов-на-Дону;Ростов-на-Дону;26
Самара;Самара;44
Краснодар;Сочи;30
Самара;Сызрань;47
Москва и область;Тверь;6
Самара;Тольятти;45
Новосибирск;Томск;31
Краснодар;Туапсе;37
Тула;Тула;7
Екатеринбург;Тюмень;52
Самара;Ульяновск;46
Нижний Новгород;Чебоксары;56
Екатеринбург;Челябинск;50
Москва и область;Ярославль;15
