"id","name","region_id","warehouse_id"
"1","Москва и область","1","1"
"2","Санкт-Петербург","2","2"
"3","Адлер","38","15"
"4","Анапа","35","3"
"5","Барнаул","32","4"
"6","Великий Новгород","13","2"
"7","Волгоград","4","5"
"8","Воронеж","28","6"
"9","Воскресенск","10","1"
"10","Геленджик","34","3"
"11","Горячий Ключ","39","15"
"12","Джубга","36","3"
"13","Екатеринбург","41","7"
"14","Казань","27","8"
"15","Калуга","5","9"
"16","Кемерово","29","4"
"17","Коломна","11","1"
"18","Краснодар","14","3"
"19","Нижний Новгород","20","10"
"20","Нижний Тагил","51","7"
"21","Новокуйбышевск","48","11"
"22","Новороссийск","33","3"
"23","Новосибирск","19","4"
"24","Обнинск","8","1"
"25","Пермь","53","7"
"26","Пятигорск","42","12"
"27","Ростов-на-Дону","26","13"
"28","Самара","44","11"
"29","Сочи","30","15"
"30","Сызрань","47","11"
"31","Тверь","6","1"
"32","Тольятти","45","11"
"33","Томск","31","4"
"34","Туапсе","37","3"
"35","Тула","7","9"
"36","Тюмень","52","7"
"37","Ульяновск","46","11"
"38","Чебоксары","56","10"
"39","Челябинск","50","7"
"40","Ярославль","15","1"
"41","Севастополь","57","16"
"43","Симферополь","40","16"
"44","Пенза","58","11"
"45","Саратов","55","5"
"46","Евпатория","59","16"
"47","Ялта","60","16"
"48","Владимир","24","17"
"49","Иваново","23","17"
"50","Кострома","25","17"
"51","Липецк","22","17"
"52","Мичуринск","17","17"
"53","Тамбов","16","17"
"54","Рязань","12","17"
"55","Петрозаводск","18","2"
"56","Курск","61","6"
"58","Брянск","62","1"
"59","Смоленск","63","1"
"60","Астрахань","64","5"
"61","Краснодар","14","13"
"62","Ставрополь","43","12"
